Web_Site_Member_ID,Master_Member_ID,API_GUID,Constituent_ID,Registration_Date,Approved_Site_Member,Date_Approved,Date_Last_Login,Member_Suspended,Last_Updated,Date_Membership_Expires,Membership,Has_Donated_Online,Date_Last_Donated,Has_Purchased_Online,Date_Last_Purchased,Has_Registered_Event_Online,Date_Last_Event_Reg,Username,Password,Member_Type_Code,Primary_Group_Code,Group_Codes,Gender,First_Name,Middle_Name,Last_Name,Nickname,Member_Name_Suffix,Member_Name_Title,Birthdate,Marriage_Status,Maiden_Name,Anniversary_Date,Spouse_Name,Email_Address,Email_Address_Alternate,Email_Bounced,Messenger_Type,Messenger_Handle,Home_Address_Line1,Home_Address_Line2,Home_City,Home_Location,Home_State_Abbrev,Home_Postal_Code,Home_Country,Personal_Website,Home_Phone_Country_Code,Home_Phone_Area_Code,Home_Phone,Mobile_Country_Code,Mobile_Area_Code,Mobile,Employer_Name,Professional_Title,Profession,Employer_Address_Line1,Employer_Address_Line2,Employer_City,Employer_Location,Employer_State_Abbrev,Employer_Postal_Code,Employer_Country,Employer_Website,Employer_Phone_Country_Code,Employer_Phone_Area_Code,Employer_Phone,Employer_Fax_Country_Code,Employer_Fax_Area_Code,Employer_Fax,Resume_Exists,Resume_Headline,Social_Organizations,Education_and_Experience,More_Personal_Info,Search_Identifier,Internal_Comments,Home_Address_Validated,Employer_Address_Validated,Date_Last_Renewed,Date_Effective_Membership_Expires,Import_Batch_ID,Career_Openings_Allowed,Members_Pages_Allowed,Additional_Seats_Allowed,intNameFormatNormal,YMCareers_Date_Last_Login,YMCareers_Date_Last_Job_Search,YMCareers_Date_Last_Job_Application,Number_of_Employees,Area_of_Expertise,Membership_Division,Age_Range,District_Size,ACTE_Number,County_-_Area,Liability_insurance,Years,ACTE_Expiration,Member_Area,Instructional_area
000011,,7fd9bed9-40c6-62a2-77c6-e7aea9e9d001,,2023-07-07 15:32:00,Yes,2023-07-07 15:53:00,2024-04-03 10:18:00,No,2025-07-07 00:05:52,2026-07-07 00:00:00,Administrator,No,,Yes,2024-01-22 13:10:16,Yes,2024-01-22 13:10:16,user_00005,[REDACTED],Active,,,,First00011,,Last00011,Nick00002,,Mrs.,,,,,,user00011@example.invalid,alt00003@example.invalid,No,,,[ADDR1_00004],,Pflugerville,Texas,TX,786XX,United States,,,,,,512,5550013,[ORG_00011],Career Education Coordinator,,[EADDR1_00004],,Austin,Texas,TX,787XX,United States,https://example.invalid/e00001,,512,5550014,,512,5550015,No,,,,,srch_00001,,False,False,2025-07-07 00:05:52,2026-07-07 00:00:00,,0,0,0,338,,,,,Administration,Administration,Under 50,Up to 500 students,,Travis - 4,No,,,4,
000012,,fec70243-abba-b7fc-c70d-b1b5f99a174d,,,No,,,No,2019-10-18 14:04:05,,,No,,No,,No,,,,,,,,First00012,,Last00012,,,,,,,,,user00012@example.invalid,,No,,,,,,,,,,,,,5550016,,,,[ORG_00012],STEM Consultant,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000013,,d1ba214e-074c-1ee8-a9d7-b6b633b14932,,,No,,,No,2024-01-09 17:14:48,,,No,,No,,No,,,,,,,,First00013,,Last00013,,,,,,,,,user00013@example.invalid,,No,,,,,,,,,,,,,5550017,,,,[ORG_00013],High School Principal,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000014,,ac291039-de35-66c5-62f4-540e429bb204,,,No,,,No,2023-05-15 10:37:15,,,No,,No,,No,,,,,,,,First00014,,Last00014,,,,,,,,,user00014@example.invalid,,No,,,,,,,,,,,,,5550018,,,,[ORG_00014],Business and Technology Instructor,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000015,,590ae590-0d29-ca4a-0ab3-7e53a4af5377,,2018-11-08 16:53:23,No,,,Yes,2018-11-08 16:53:23,,,No,,No,,No,,user_00006,[REDACTED],Teacher,,,,First00015,,Last00015,Nick00003,,,,,,,,user00015@example.invalid,alt00004@example.invalid,No,,,[ADDR1_00005],,Buna,Texas,TX,776XX,United States,,,,,,409,5550019,[ORG_00015],IT Manager / CTE Teacher,,[EADDR1_00005],,Beaumont,Texas,TX,777XX,United States,,,409,5550020,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Teacher ,,Under 50,"Up to 5,000 students",,Jefferson - 10,Yes,,,10,STEM
000016,,59bde7e9-f766-0d9f-09d8-757c782b03f1,,2024-11-13 00:00:00,Yes,2024-11-13 13:43:00,,No,2024-11-13 13:44:42,2025-11-15 00:00:00,Campus Coach,No,,Yes,2024-08-08 11:54:02,Yes,2024-08-08 11:54:02,user_00007,[REDACTED],Campus Coach,,,,First00016,,Last00016,,,,,,,,,user00016@example.invalid,,No,,,,,,,,,,,,,5550021,,,,[ORG_00016],Ag Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,2025-11-15 00:00:00,,0,10,0,466,,,,,Teacher ,Teacher,Under 40,"Up to 5,000 students",,Liberty - 6,,,,6,
000017,,930be4ae-927d-3397-536c-8cb83dc2d912,,,No,,,No,2016-05-19 12:54:27,,,No,,No,,No,,,,,,,,First00017,,Last00017,,,,,,,,,user00017@example.invalid,,No,,,,,,,,,,,,,5550022,,,,[ORG_00017],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000018,,04376de4-4337-7800-81b6-f8ed756ea3c2,,,No,,,No,2020-07-16 16:24:37,,,No,,No,,No,,,,,,,,First00018,,Last00018,,,,,,,,,user00018@example.invalid,,No,,,,,,,,,,,,,5550023,,,,[ORG_00008],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000019,,ee41ab8c-7cb3-fdfd-4dcd-b0c79aecf31f,,,No,,,No,2021-04-27 12:51:01,,,No,,No,,No,,,,,,,,First00019,,Last00019,,,,,,,,,user00019@example.invalid,,No,,,,,,,,,,,,,5550024,,,,[ORG_00018],Engineering Design Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000020,,01807175-83bd-33db-0224-b3c6cca4bbd2,,,No,,,No,2017-03-31 10:50:49,,,No,,No,,No,,,,,,,,First00020,,Last00020,,,,,,,,,user00020@example.invalid,,No,,,,,,,,,,,,,5550025,,,,[ORG_00019],CTE Counselor,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000021,,86dec390-4951-1aee-c570-a76523a1cc9b,,2024-12-04 14:50:28,No,,,Yes,2024-12-04 14:50:28,,,No,,No,,No,,user_00008,[REDACTED],Active,,,,First00021,M00001,Last00021,,,Mrs.,,,,,,user00021@example.invalid,alt00005@example.invalid,No,,,[ADDR1_00006],,Winnie,Texas,TX,776XX,United States,,,,,,409,5550026,[ORG_00020],CTE Director,,[EADDR1_00006],,Winnie,Texas,TX,776XX,United States,,,409,5550027,,409,5550027,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Teacher ,Administration,Under 40,"Up to 5,000 students",,Chambers - 6,No,,,6,
000022,,d41ec26b-c6b6-560c-aea7-ede2b07a8693,,,No,,,No,2022-01-27 16:33:16,,,No,,No,,No,,,,,,,,First00022,,Last00022,,,,,,,,,user00022@example.invalid,,No,,,,,,,,,,,,,5550028,,,,[ORG_00021],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000023,,526f7f6d-d265-fd37-d4c0-c6326f23b0ad,,,No,,,No,2020-08-27 18:21:18,,,No,,No,,No,,,,,,,,First00023,,Last00023,,,,,,,,,user00023@example.invalid,,No,,,,,,,,,,,,,5550029,,,,[ORG_00022],Fire Science Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000024,,03471801-7bd4-2eb3-e47d-7ee528c0f2b6,,,No,,,No,2016-11-10 13:48:30,,,No,,No,,No,,,,,,,,First00024,,Last00024,,,,,,,,,user00024@example.invalid,,No,,,,,,,,,,,,,5550030,,,,[ORG_00023],Academic Guidance Counselor ,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000025,,e4f0f277-5f18-bc8b-b6af-fae4ee2562d5,,,No,,,No,2025-06-02 12:36:20,,,No,,No,,No,,,,,,,,First00025,,Last00025,,,,,,,,,user00025@example.invalid,,No,,,,,,,,,,,,,5550031,,,,[ORG_00024],Accounting Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000026,,5e7edcdf-5bba-b404-0961-ebb44d0fcee8,,,No,,,No,2016-06-21 13:32:56,,,No,,No,,No,,,,,,,,First00026,,Last00026,,,,,,,,,user00026@example.invalid,,No,,,,,,,,,,,,,5550032,,,,[ORG_00025],Health Science Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000027,,47ee2349-a204-eae5-d56e-23fc0103fc63,,,No,,,No,2018-12-03 16:48:44,,,No,,No,,No,,,,,,,,First00027,,Last00027,,,,,,,,,user00027@example.invalid,,No,,,,,,,,,,,,,5550033,,,,[ORG_00026],CTE Engineering Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000028,,d5116c24-32ec-01ef-2b97-d07ad3b20352,,2015-12-17 00:00:00,Yes,2016-03-31 12:06:38,,Yes,2021-12-15 13:56:44,2016-12-16 00:00:00,Associate,No,,No,,No,,user_00009,[REDACTED],Associate,,,,First00028,,Last00028,,,,,,,,,user00028@example.invalid,alt00006@example.invalid,No,,,[ADDR1_00007],,McAllen,TX,,785XX,,,,,,,,5550034,[ORG_00027],Teacher,,[EADDR1_00007],,Pharr,TX,,785XX,,,,,5550035,,,,No,,,,,srch_00001,,False,False,2015-12-17 00:00:00,2016-12-16 00:00:00,153458,0,10,0,466,,,,,,Guidance,Under 50,"Up to 50,000",,9,,0,1969-12-31 00:00:00,9,
000029,,9d2b54cc-88dd-5eca-5a06-1e5ce22f3821,,,No,,,No,2018-11-08 14:51:49,,,No,,No,,No,,,,,,,,First00029,,Last00029,,,,,,,,,user00029@example.invalid,,No,,,,,,,,,,,,,5550036,,,,[ORG_00028],CTE Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000030,,2768b9e0-12e3-b17f-fb9e-4c76a199db5c,,,No,,,No,2023-04-03 13:53:42,,,No,,No,,No,,,,,,,,First00030,,Last00030,,,,,,,,,user00030@example.invalid,,No,,,,,,,,,,,,,5550037,,,,[ORG_00029],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000031,,56c5a89d-a330-7553-2076-ffeb9bd5675c,,2025-06-19 14:24:00,Yes,2025-07-06 16:42:00,2026-02-14 08:50:32,No,2025-07-07 12:25:26,2026-07-06 00:00:00,Teacher,No,,Yes,2025-07-07 12:32:42,Yes,2025-07-07 12:32:43,user_00010,[REDACTED],Teacher,,,,First00031,,Last00031,,,Ms.,,,,,,user00031@example.invalid,,No,,,[ADDR1_00008],,Liberty Hill,Texas,TX,786XX,United States,,,,,,512,5550038,[ORG_00030],Asst Professor of Instruction,,[EADDR1_00008],,Round Rock,Texas,TX,786XX,United States,,,512,5550039,,,,No,,,,[REDACTED_FREETEXT],srch_00001,,False,False,2025-07-06 16:42:00,2026-07-06 00:00:00,,0,0,0,338,,,,,Teacher ,Teacher,Under 60,Not Applicable,,Williamson - 4,No,,,4,Education and Training|STEM|Career Development
000032,,d9c288eb-ca8b-8ae5-17da-68fa0589d77e,,2024-10-05 12:21:51,No,,,Yes,2024-10-05 12:21:51,,,No,,No,,No,,user_00011,[REDACTED],Teacher,,,,First00012,,Last00032,,,,,,,,,user00032@example.invalid,,No,,,[ADDR1_00009],,TEMPLE,Texas,TX,765XX,United States,,,,,,512,5550040,[ORG_00031],Engineering Teacher,,[EADDR1_00009],,TEMPLE,Texas,TX,765XX,United States,,,254,5550041,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Teacher ,Teacher,Under 40,"Up to 35,000 students",,Bell - 4,Yes,,,4,STEM
000033,,2dce5886-0188-2cc1-f72c-238167300880,,2018-03-15 16:33:29,Yes,2018-03-15 16:33:29,,Yes,2018-03-15 16:33:29,,,No,,No,,No,,user_00012,[REDACTED],Active,,,,First00032,,Last00033,,,,,,,,,user00033@example.invalid,alt00007@example.invalid,No,,,[ADDR1_00010],,El Lago,Texas,TX,775XX,United States,,,832,5550042,,,,[ORG_00032],Director of Curriculum & Instruction,,[EADDR1_00010],,El Lago,Texas,TX,775XX,United States,,,832,5550042,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Administration,Administration,Under 50,"Up to 5,000 students",,Harris - 6,,,,6,
000034,,b9addb61-d059-6b1d-563e-d5f46ff124ec,,2024-03-20 15:13:00,Yes,2024-04-17 12:41:00,2026-07-13 11:15:10,No,2026-04-30 18:03:00,2027-04-30 00:00:00,Administrator,No,,Yes,2026-04-30 18:03:20,Yes,2026-04-30 18:03:20,user_00013,[REDACTED],Active,,,,First00033,,Last00034,,,Mrs.,,,,,,user00034@example.invalid,alt00008@example.invalid,No,,,[ADDR1_00011],,Bullard,Texas,TX,757XX,United States,,,,,,903,5550043,[ORG_00033],Counselor,,[EADDR1_00011],[EADDR2_00001],Frankston,Texas,TX,757XX,United States,,,903,5550044,,903,5550045,No,,,,,srch_00001,,False,False,2026-04-30 18:03:00,2027-04-30 00:00:00,,0,0,0,338,,,,,Guidance,Administration,Under 50,Up to 500 students,,Henderson - 3,Yes,,,3,
000035,,2e087f60-ae8f-e692-20dd-808b43a5cbcd,,2022-05-01 18:41:00,Yes,2022-06-01 20:17:00,2026-06-02 13:49:10,No,2026-05-06 15:21:31,2027-06-01 00:00:00,Teacher,No,,Yes,2026-02-13 08:47:15,Yes,2026-02-13 08:47:15,user_00014,[REDACTED],Teacher,,,,First00034,,Last00035,,,Mrs,,,,,,user00035@example.invalid,,No,,,[ADDR1_00012],,Austin,Texas,TX,787XX,United States,,,,,,512,5550046,[ORG_00034],CTE Teacher,,[EADDR1_00012],,Austin,Texas,TX,787XX,United States,,,512,5550047,,,,No,,,,,srch_00001,,False,False,2026-05-06 15:21:31,2027-06-01 00:00:00,,0,0,0,338,,,,,Teacher ,Teacher,Under 60,"Up to 10,000 students",,Travis - 4,No,,,4,"Law, Public Safety and Security"
000036,,d1ec3f3c-ee53-2276-a08c-7ea21774e793,,,No,,,No,2024-05-13 09:56:50,,,No,,No,,No,,,,,,,,First00035,,Last00036,,,,,,,,,user00036@example.invalid,,No,,,,,,,,,,,,,5550048,,,,[ORG_00035],Director of Advanced Academics & GT,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000037,,a0ea77ef-d20d-d7f5-9222-1182baa4742a,,,No,,,No,2016-05-10 13:50:26,,,No,,No,,No,,,,,,,,First00036,,Last00037,,,,,,,,,user00037@example.invalid,,No,,,,,,,,,,,,,5550049,,,,[ORG_00036],RRT/Health Science Instructor,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000038,,054d7730-b469-2829-5ea7-5a4962dc56d1,,,No,,,No,2025-11-21 14:03:23,,,No,,No,,No,,,,,,,,First00012,,Last00038,,,,,,,,,user00038@example.invalid,,No,,,,,,,,,,,,,5550050,,,,[ORG_00037],Assistant Principal,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000039,,b6247713-61cb-ef3a-7c0e-85be455f6052,,2021-09-22 10:55:25,No,,,Yes,2021-09-22 10:55:25,,,No,,No,,No,,user_00015,[REDACTED],Active,,,,First00037,,Last00039,,,,,,,,,user00039@example.invalid,alt00009@example.invalid,No,,,[ADDR1_00013],,Mount Pleasant,Texas,TX,754XX,United States,,,,,,903,5550051,[ORG_00038],JH/ECHS Principal,,[EADDR1_00013],,Mt. Pleasant,Texas,TX,754XX,United States,,,903,5550051,,903,5550052,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Administration,Administration,Under 50,Up to 500 students,,Titus - 3,,,,3,
000040,,1bd49ef4-5973-cee2-c21d-075ae485ace0,,,No,,,No,2024-09-09 13:03:08,,,No,,No,,No,,,,,,,,First00038,,Last00040,,,,,,,,,user00040@example.invalid,,No,,,,,,,,,,,,,5550053,,,,[ORG_00039],CTE Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000041,,e14d5ad9-3c31-4495-6a5f-a7adfc41bc34,,2019-04-03 08:49:54,No,,,Yes,2019-04-03 08:49:54,,,No,,No,,Yes,2020-05-20 13:52:03,user_00016,[REDACTED],Associate,,,,First00039,,Last00041,Nick00004,Smith,Mr,1974-01-01,,,,,user00041@example.invalid,,No,,,[ADDR1_00014],[ADDR2_00001],midlothian,Texas,TX,760XX,United States,,,,,,469,5550054,[ORG_00040],Officer,Education,[EADDR1_00014],,Ferris,Texas,TX,751XX,United States,,,972,5550055,,972,5550056,No,,,,,srch_00001,,False,False,,,,0,10,0,466,,,,,Not applicable,Teacher,Under 50,"Up to 5,000 students",,Ellis	 - 2,,3,,12,"Law, Public Safety and Security"
000042,,a7e8e926-eba7-8746-e098-611728325595,,,No,,,No,2018-11-28 17:05:00,,,No,,No,,No,,,,,,,,First00040,,Last00042,,,,,,,,,user00042@example.invalid,,No,,,,,,,,,,,,,5550057,,,,[ORG_00041],Assistant Principal,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000043,,24522a56-5b20-73da-3178-f5afa10e6909,,,No,,,No,2021-04-27 13:36:06,,,No,,No,,No,,,,,,,,First00041,,Last00043,,,,,,,,,user00043@example.invalid,,No,,,,,,,,,,,,,5550058,,,,[ORG_00042],CTE and Post-Secondary Advisor/Counselor,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000044,,efb3e875-004a-89d2-baa7-48079caf67a0,,2019-07-15 12:04:53,No,,,Yes,2019-07-15 12:04:53,,,No,,No,,No,,user_00017,[REDACTED],Active,,,,First00042,,Last00044,,,Mr,,,,,,user00044@example.invalid,,No,,,[ADDR1_00015],,Desoto,Texas,TX,751XX,United States,,,,,,972,5550059,[ORG_00043],Marketing Coordinator,,[EADDR1_00015],,Dallas,Texas,TX,751XX,United States,,,972,5550060,,972,5550061,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Business/Industry,Administration,Under 50,"Up to 50,000 students",,Dallas - 2,Yes,,,2,
000045,,ce3874fa-0d68-b23c-db56-d3f6003cf9b3,,2025-10-29 00:00:00,Yes,2025-12-04 16:30:56,,No,2025-12-04 16:30:56,2026-11-13 00:00:00,Administrator,No,,No,,No,,user_00018,[REDACTED],Active,,,,First00008,M00002,Last00045,Nick00005,,Mr.,,,,,,user00045@example.invalid,alt00010@example.invalid,No,,,[ADDR1_00016],,Quitman,Texas,TX,757XX,United States,,,,,,903,5550062,[ORG_00044],Principal,,[EADDR1_00016],,Quitman,Texas,TX,757XX,United States,,,903,5550063,,903,5550064,No,,,,,srch_00001,,False,False,2025-11-14 16:43:00,2026-11-13 00:00:00,,0,0,0,338,,,,,Administration,Administration,Under 60,Up to 500 students,,Wood - 3,No,,,3,
000046,,be14a7a0-b683-ca0b-875a-4a82fcc6b696,,,No,,,No,2023-04-20 12:33:19,,,No,,No,,No,,,,,,,,First00043,,Last00046,,,,,,,,,user00046@example.invalid,,No,,,,,,,,,,,,,5550065,,,,[ORG_00045],Health Science Instructor,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
